"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.371524886E2,6.505844458E1,2.560334888E1,3.002077451E1,4.750970203E1,3.378395557E0,3.580286560E2,7.598520526E-1,3.000000000E0,3.000000000E0,4.000000000E1
1.381665687E2,6.505847579E1,2.560334597E1,3.028282210E1,4.777175788E1,3.412269831E0,3.553326111E2,7.635578244E-1,3.000000000E0,3.000000000E0,3.800000000E1
1.391596015E2,6.505850890E1,2.560333709E1,3.063159297E1,4.812053706E1,3.419970036E0,3.546190186E2,7.672045470E-1,4.000000000E0,3.000000000E0,4.000000000E1
1.401677717E2,6.505854154E1,2.560332952E1,3.093420122E1,4.842315358E1,3.441221476E0,3.578072510E2,7.707138051E-1,4.000000000E0,3.000000000E0,3.700000000E1
1.411582944E2,6.505857310E1,2.560332903E1,3.083045840E1,4.831941932E1,3.447641134E0,3.579649963E2,7.743814268E-1,4.000000000E0,3.000000000E0,3.700000000E1
1.421668970E2,6.505860599E1,2.560332300E1,3.088038459E1,4.836935398E1,3.451434851E0,3.564711914E2,7.782269687E-1,4.000000000E0,3.000000000E0,3.700000000E1
1.431577118E2,6.505864057E1,2.560332368E1,3.102872877E1,4.851770762E1,3.459495783E0,3.566729431E2,7.818638191E-1,4.000000000E0,3.000000000E0,3.900000000E1
1.441665071E2,6.505867306E1,2.560331479E1,3.097424011E1,4.846322709E1,3.470254421E0,3.529381104E2,7.851588949E-1,4.000000000E0,3.000000000E0,3.800000000E1
1.451574333E2,6.505870269E1,2.560331393E1,3.113014593E1,4.861914091E1,3.467406988E0,3.585703125E2,7.885410457E-1,4.000000000E0,3.000000000E0,3.800000000E1
1.461573091E2,6.505873311E1,2.560331364E1,3.114053463E1,4.862953786E1,3.470278502E0,3.580526428E2,7.920142676E-1,4.000000000E0,3.000000000E0,3.700000000E1
1.471623959E2,6.505876434E1,2.560331293E1,3.133319623E1,4.882220792E1,3.472638130E0,3.581039734E2,7.954949091E-1,4.000000000E0,3.000000000E0,3.600000000E1
1.481590497E2,6.505879553E1,2.560330665E1,3.149432103E1,4.898334070E1,3.487430573E0,3.540960083E2,7.988636895E-1,4.000000000E0,3.000000000E0,3.700000000E1
1.491687084E2,6.505882571E1,2.560330037E1,3.160931711E1,4.909834450E1,3.491648197E0,3.565565186E2,8.020799285E-1,4.000000000E0,3.000000000E0,3.800000000E1
1.501693948E2,6.505885457E1,2.560329586E1,3.158549648E1,4.907453136E1,3.487927675E0,3.562687683E2,8.056235757E-1,4.000000000E0,3.000000000E0,3.800000000E1
1.511745452E2,6.505888632E1,2.560328920E1,3.153185039E1,4.902089339E1,3.495199680E0,3.549457092E2,8.091610083E-1,4.000000000E0,3.000000000E0,3.700000000E1
1.521647127E2,6.505891810E1,2.560328595E1,3.125339593E1,4.874244732E1,3.499105930E0,3.561034851E2,8.128217531E-1,4.000000000E0,3.000000000E0,3.700000000E1
