"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.005479246E0,-4.836000061E1,-3.918000031E1,-2.193600006E2,2.280187974E2
2.013413816E0,-4.871999741E1,-3.905999756E1,-2.195399933E2,2.282479577E2
2.021409422E0,-4.859999847E1,-3.965999985E1,-2.195399933E2,2.283258288E2
2.029313475E0,-4.884000015E1,-3.959999847E1,-2.194199982E2,2.282512674E2
2.037248045E0,-4.829999924E1,-3.977999878E1,-2.196599884E2,2.283984429E2
2.045213133E0,-4.823999786E1,-4.002000046E1,-2.197200012E2,2.284853973E2
2.053147703E0,-4.836000061E1,-4.013999939E1,-2.193600006E2,2.281857118E2
2.061112791E0,-4.775999832E1,-4.025999832E1,-2.195999908E2,2.283112807E2
2.069016844E0,-4.770000076E1,-4.043999863E1,-2.190000000E2,2.277535588E2
2.076951414E0,-4.734000015E1,-4.037999725E1,-2.192399902E2,2.278986466E2
2.084916502E0,-4.734000015E1,-4.007999802E1,-2.188199921E2,2.274415766E2
2.092881590E0,-4.745999908E1,-3.995999908E1,-2.185800018E2,2.272145907E2
2.100877195E0,-4.757999802E1,-3.977999878E1,-2.192999878E2,2.279008319E2
2.108781248E0,-4.770000076E1,-3.977999878E1,-2.190000000E2,2.276372957E2
2.116715818E0,-4.781999969E1,-4.002000046E1,-2.192399902E2,2.279353551E2
2.124650389E0,-4.793999863E1,-4.013999939E1,-2.195999908E2,2.283278761E2
2.132584959E0,-4.787999725E1,-4.013999939E1,-2.193600006E2,2.280844658E2
2.140580564E0,-4.836000061E1,-3.954000092E1,-2.194799957E2,2.281963406E2
2.148454100E0,-4.823999786E1,-3.893999863E1,-2.196599884E2,2.282409503E2
2.156388670E0,-4.829999924E1,-3.863999939E1,-2.198999939E2,2.284336814E2
2.164323240E0,-4.871999741E1,-3.863999939E1,-2.198999939E2,2.285228545E2
2.172257811E0,-4.829999924E1,-3.911999893E1,-2.196599884E2,2.282844163E2
2.180222898E0,-4.859999847E1,-3.984000015E1,-2.197799988E2,2.285879116E2
2.188126951E0,-4.818000031E1,-3.959999847E1,-2.196599884E2,2.283418114E2
2.196061521E0,-4.793999863E1,-3.959999847E1,-2.192399902E2,2.278872016E2
2.204026609E0,-4.793999863E1,-3.929999924E1,-2.196599884E2,2.282394443E2
2.211961180E0,-4.787999725E1,-3.893999863E1,-2.197799988E2,2.282806726E2
2.219956785E0,-4.841999817E1,-3.947999954E1,-2.199599915E2,2.286603692E2
2.227860838E0,-4.829999924E1,-3.941999817E1,-2.206799927E2,2.293174336E2
2.235795408E0,-4.793999863E1,-3.965999985E1,-2.203799896E2,2.289945390E2
2.243729979E0,-4.775999832E1,-3.995999908E1,-2.199599915E2,2.286049361E2
2.251695066E0,-4.721999741E1,-3.965999985E1,-2.197799988E2,2.282671496E2
2.259660154E0,-4.763999939E1,-3.995999908E1,-2.192399902E2,2.278871308E2
2.267533689E0,-4.823999786E1,-3.984000015E1,-2.190000000E2,2.277615486E2
2.275468260E0,-4.811999893E1,-3.936000061E1,-2.195999908E2,2.282299278E2
2.283372312E0,-4.865999985E1,-3.954000092E1,-2.196599884E2,2.284331801E2
2.291306883E0,-4.805999756E1,-3.923999786E1,-2.200199890E2,2.286008232E2
2.299271971E0,-4.775999832E1,-3.971999741E1,-2.197200012E2,2.283321584E2
2.307176023E0,-4.800000000E1,-3.977999878E1,-2.194199982E2,2.281043268E2
2.315110594E0,-4.805999756E1,-3.977999878E1,-2.192399902E2,2.279438198E2
2.323045164E0,-4.823999786E1,-3.941999817E1,-2.189400024E2,2.276307499E2
2.330979734E0,-4.829999924E1,-3.887999725E1,-2.196599884E2,2.282434109E2
2.338975340E0,-4.787999725E1,-3.875999832E1,-2.195999908E2,2.280767143E2
2.346848875E0,-4.770000076E1,-3.875999832E1,-2.197200012E2,2.281545671E2
2.354844480E0,-4.793999863E1,-3.941999817E1,-2.200800018E2,2.286643543E2
2.362779051E0,-4.823999786E1,-3.965999985E1,-2.200800018E2,2.287689231E2
2.370713621E0,-4.865999985E1,-4.002000046E1,-2.201999969E2,2.290358808E2
2.378678709E0,-4.913999939E1,-3.989999771E1,-2.200199890E2,2.289444145E2
2.386582762E0,-4.913999939E1,-3.965999985E1,-2.198399963E2,2.287297076E2
2.394517332E0,-4.871999741E1,-3.923999786E1,-2.197200012E2,2.284519523E2
2.402482420E0,-4.841999817E1,-3.875999832E1,-2.195999908E2,2.281906871E2
2.410447508E0,-4.793999863E1,-3.852000046E1,-2.198399963E2,2.282797799E2
2.418443113E0,-4.763999939E1,-3.827999878E1,-2.194799957E2,2.278297530E2
2.426316648E0,-4.800000000E1,-3.863999939E1,-2.192999878E2,2.277927440E2
2.434281736E0,-4.793999863E1,-3.905999756E1,-2.191799927E2,2.277362423E2
2.442185789E0,-4.763999939E1,-3.911999893E1,-2.189400024E2,2.274525632E2
2.450120359E0,-4.787999725E1,-3.923999786E1,-2.192399902E2,2.278123019E2
2.458085447E0,-4.775999832E1,-3.870000076E1,-2.195399933E2,2.279835875E2
2.465989500E0,-4.787999725E1,-3.839999771E1,-2.201999969E2,2.285937283E2
2.473924070E0,-4.829999924E1,-3.852000046E1,-2.204400024E2,2.289333419E2
2.481858641E0,-4.853999710E1,-3.821999741E1,-2.203199921E2,2.288182651E2
2.489793211E0,-4.847999954E1,-3.845999908E1,-2.203799896E2,2.289035205E2
2.497788816E0,-4.889999771E1,-3.870000076E1,-2.201399994E2,2.288023583E2
2.505692869E0,-4.895999908E1,-3.893999863E1,-2.201399994E2,2.288559030E2
2.513627439E0,-4.859999847E1,-3.929999924E1,-2.200800018E2,2.287829911E2
2.521531492E0,-4.895999908E1,-3.929999924E1,-2.198999939E2,2.286866388E2
