"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.060707574E0,8.655893803E-2,7.080383301E-1,2.331152916E0,2.437844262E0
2.068611626E0,2.292026877E-1,4.168500900E-1,2.068961382E0,2.122945847E0
2.076637749E0,5.530024171E-1,1.417341232E-1,1.558992386E0,1.660228145E0
2.084511285E0,9.804311395E-1,-1.098470688E-1,1.046506047E0,1.438223385E0
2.092415337E0,1.249687672E0,-3.087863922E-1,7.641406059E-1,1.496990039E0
2.100349908E0,1.498866796E0,-4.380626678E-1,5.503371954E-1,1.655708792E0
2.108223443E0,1.847212553E0,-5.072669983E-1,4.001759291E-1,1.956950382E0
2.116280083E0,2.084854126E0,-5.595350266E-1,3.957803249E-1,2.194615738E0
2.124184136E0,2.338505507E0,-5.758285522E-1,3.751268387E-1,2.437397520E0
2.132057671E0,2.507949114E0,-5.563154221E-1,2.821952105E-1,2.584362541E0
2.139992242E0,2.501876593E0,-5.273132324E-1,3.980321884E-1,2.587638953E0
2.147865777E0,2.441148043E0,-5.007123947E-1,3.694078922E-1,2.519202028E0
2.155891900E0,2.298485756E0,-4.526777267E-1,1.128581762E-1,2.345355168E0
2.163795953E0,2.099037409E0,-4.645462036E-1,-2.445338964E-1,2.163690839E0
2.171669488E0,1.814018488E0,-4.714603424E-1,-4.782827497E-1,1.934345449E0
2.179604058E0,1.643443584E0,-5.423650742E-1,-5.985483527E-1,1.831209114E0
2.187477593E0,1.500343204E0,-6.772508621E-1,-5.794607997E-1,1.745128441E0
2.195473199E0,1.412387609E0,-8.784198761E-1,-3.768042922E-1,1.705415408E0
2.203346734E0,1.279179335E0,-1.102391243E0,-1.248768568E-1,1.693269161E0
2.211220269E0,1.224751353E0,-1.323271751E0,2.275500298E-1,1.817372560E0
2.219154839E0,1.129458785E0,-1.557963371E0,6.386572123E-1,2.027513267E0
2.227058892E0,1.136299133E0,-1.732461929E0,1.083482981E0,2.338062323E0
2.235054498E0,1.386296034E0,-1.816114902E0,1.268386245E0,2.613215203E0
2.242928033E0,1.666940212E0,-1.902547359E0,1.243180752E0,2.818487983E0
2.250832085E0,1.871151209E0,-1.977694511E0,1.110637188E0,2.940407691E0
2.258766656E0,1.925963402E0,-1.971755505E0,1.019676208E0,2.938859365E0
2.266640191E0,1.926795006E0,-1.942214012E0,8.374608755E-1,2.861131766E0
2.274666314E0,1.698102713E0,-1.824410439E0,5.538747311E-1,2.553194761E0
2.282509332E0,1.529006958E0,-1.728556156E0,3.917394876E-1,2.340775190E0
2.290382867E0,1.567049146E0,-1.642910957E0,7.673728466E-2,2.271714782E0
2.298378472E0,1.634485126E0,-1.509842873E0,-3.135445118E-1,2.247104200E0
2.306282525E0,1.698547602E0,-1.396180153E0,-5.477072597E-1,2.265913991E0
2.314278130E0,1.733233094E0,-1.423716545E0,-5.364434123E-1,2.306260457E0
2.322182183E0,1.784301877E0,-1.403134346E0,-5.056979656E-1,2.325564365E0
2.330055718E0,1.683734298E0,-1.367921829E0,-3.864029646E-1,2.203515048E0
2.337990289E0,1.595680118E0,-1.301227570E0,-2.235667706E-1,2.071079508E0
2.345894341E0,1.418785572E0,-1.224692345E0,-1.821949482E-1,1.883087581E0
2.353920464E0,1.279219151E0,-1.045122147E0,-3.596255779E-1,1.690565732E0
2.361824517E0,1.190838575E0,-7.388010025E-1,-6.301125884E-1,1.536543298E0
2.369667535E0,1.077596188E0,-3.726720810E-1,-8.090113997E-1,1.398069193E0
2.377663140E0,1.262166619E0,-7.606220245E-2,-1.028252363E0,1.629770829E0
2.385567193E0,1.241352558E0,1.741018295E-1,-1.260364175E0,1.777578542E0
2.393562798E0,1.199047923E0,3.700914383E-1,-1.127136946E0,1.686748733E0
2.401466851E0,1.240090489E0,5.434494019E-1,-7.378025055E-1,1.541919003E0
2.409340386E0,1.056248903E0,5.479602814E-1,-3.906782269E-1,1.252418338E0
2.417335992E0,7.852019668E-1,5.690879822E-1,-1.017129421E-2,9.697972547E-1
2.425240044E0,2.959615588E-1,6.343708038E-1,3.750752211E-1,7.941668480E-1
2.433235650E0,-1.773992181E-1,8.066024780E-1,3.305351734E-1,8.895681767E-1
2.441109185E0,-3.668400943E-1,1.103095055E0,7.980740070E-2,1.165229409E0
2.448982720E0,-4.974880517E-1,1.366026878E0,-3.175981641E-1,1.488083461E0
2.456917290E0,-6.936770082E-1,1.566951752E0,-2.898725271E-1,1.737973436E0
2.464790826E0,-8.109022379E-1,1.686969757E0,3.956854343E-2,1.872163206E0
2.472847466E0,-7.013578415E-1,1.816849709E0,4.828894734E-1,2.006496431E0
2.480751519E0,-5.800886154E-1,1.851017952E0,7.358714938E-1,2.074675183E0
2.488686089E0,-3.642456532E-1,1.894625664E0,7.446030974E-1,2.068022020E0
